x,y,z
-162.260230,71.508898,204.756467
-161.353603,71.426735,204.583991
-160.451957,71.503252,204.399453
-159.554584,71.679825,204.207532
-158.660325,71.897994,204.012807
-157.767599,72.099463,203.819758
-156.870108,72.097959,203.642457
-155.970471,71.993603,203.473188
-155.068912,71.802715,203.310654
-154.168564,71.614431,203.148146
-153.271506,71.478234,202.982005
-152.385169,71.568489,202.799364
-151.512236,71.924747,202.597500
-150.641756,72.269769,202.397045
-149.782611,72.800641,202.183550
-148.921181,73.207790,201.979775
-148.038356,73.101813,201.813964
-147.123847,72.303577,201.698809
-146.187552,71.039231,201.617674
-145.240506,69.532708,201.554327
-144.300448,68.137813,201.483182
-143.366269,66.822497,201.406656
-142.443841,65.704219,201.316252
-141.540741,64.943127,201.200299
-140.669282,64.799934,201.039794
-139.806737,64.785693,200.870448
-138.908416,63.965780,200.760277
-138.080634,64.558251,200.547916
-137.268515,65.385032,200.319386
-136.441962,65.842761,200.118348
-135.615102,66.225266,199.923434
-134.784166,66.465059,199.739449
-133.961196,66.793476,199.549752
-133.162488,67.506087,199.333260
-132.373030,68.311374,199.110977
-131.583936,69.048599,198.894362
-130.783246,69.516661,198.697587
-130.073115,71.445018,198.398642
-129.324783,72.630849,198.153198
-128.531910,73.031128,197.963542
-127.720361,73.084339,197.798732
-126.905832,73.044291,197.641000
-126.082255,72.815637,197.496988
-125.274148,72.786160,197.339657
-124.457592,72.577318,197.195404
-123.622738,72.031030,197.075280
-116.436804,70.198932,195.805336
-115.613114,69.320309,195.714746
-114.756595,67.796483,195.670717
-114.021426,68.322408,195.482137
-113.275146,68.602044,195.311612
-112.503606,68.392826,195.176289
-111.718679,67.894347,195.062104
-110.947968,67.590657,194.934713
-92.844479,64.635270,191.598838
-92.115201,63.625928,191.537661
-91.389742,62.602842,191.478368
-90.648647,61.073313,191.457627
-89.901028,59.188566,191.464804
-89.216592,58.893682,191.353744
-88.509725,57.873261,191.297908
-87.787887,56.250030,191.288678
-87.077284,54.783284,191.268803
-86.381509,53.646073,191.224762
-85.693398,52.632468,191.172073
-85.017153,51.939742,191.095346
-84.354616,51.691944,190.984744
-83.690696,51.286140,190.886861
-83.034422,51.105829,190.771948
-82.386439,51.193452,190.636643
-81.748961,51.648856,190.473174
-81.105440,51.754311,190.337286
-80.464057,51.865325,190.201362
-79.823763,51.937119,190.068879
-79.184058,51.947912,189.941528
-78.545207,51.908781,189.818451
-77.908217,51.864094,189.696199
-77.272883,51.805240,189.575439
-76.638943,51.720327,189.457097
-76.006405,51.609530,189.341161
-75.375265,51.472247,189.227679
-74.745608,51.312067,189.116373
-74.117742,51.143963,189.006072
-73.492006,50.985586,188.895393
-72.868303,50.833451,188.784602
-72.246590,50.686663,188.673765
-71.626995,50.553363,188.562238
-71.009441,50.431040,188.450212
-70.393714,50.309399,188.338490
-69.779553,50.174718,188.228151
-69.166742,50.014665,188.120165
-68.555202,49.823968,188.014949
-67.944979,49.604421,187.912367
-67.336262,49.366534,187.811589
-66.729113,49.114083,187.712320
-66.123592,48.850824,187.614261
-65.519749,48.580490,187.517115
