x,y,z
120.427457,-34.448141,157.584225
118.209307,-33.888607,157.976724
116.750649,-33.349097,158.220725
115.963575,-32.828057,158.333479
115.758754,-32.323015,158.332443
116.047194,-31.831261,158.234987
118.128597,-31.384731,157.786798
117.859272,-30.879421,157.798491
117.428951,-30.370859,157.841745
119.520546,-29.923314,157.391457
120.492444,-29.448255,157.160261
120.533193,-28.951936,157.111395
118.659188,-28.412736,157.437532
114.274325,-27.816157,158.255322
112.686762,-27.286062,158.525581
111.371079,-26.763774,158.742733
113.892292,-26.327748,158.208462
115.439558,-25.869415,157.864896
119.704046,-25.467936,156.988837
122.910092,6.789943,153.702620
126.009118,7.270969,153.050420
127.503869,7.748821,152.715631
126.361556,8.221695,152.902573
122.643949,8.685123,153.599402
121.593545,9.154595,153.768454
124.508021,9.639582,153.152412
126.227408,10.119865,152.773015
128.115954,10.600320,152.360163
129.917991,11.079657,151.964504
130.924019,11.556533,151.726411
131.116199,12.031774,151.649342
130.554104,12.505449,151.721514
129.069762,12.975847,151.976276
127.531750,13.444024,152.241829
126.639430,13.913560,152.379625
126.324029,14.385451,152.403175
124.730376,14.849104,152.680101
124.962733,15.323665,152.595145
125.698694,15.801586,152.410356
127.844715,16.287658,151.946141
130.222450,23.868244,150.852770
132.503903,24.346113,150.362456
135.206114,24.812475,149.789909
136.504925,25.275518,149.495073
136.486714,25.746762,149.459925
134.753647,26.229391,149.762851
130.796470,26.704519,150.506078
123.958659,30.428878,151.551610
