x,y,z
-184.444265,93.009645,207.374128
-183.395359,95.765781,206.940146
-182.553576,96.159986,206.741320
-181.862217,94.685574,206.725879
-181.246723,91.815770,206.840172
-169.523577,86.765125,204.937912
-168.665982,81.324236,205.215752
-162.388375,77.182429,204.315292
-161.458906,75.679243,204.255145
-160.574573,76.103668,204.045423
-159.745811,78.431021,203.690217
-158.960695,82.022326,203.239711
-158.216528,86.877972,202.693340
-157.430721,90.023312,202.279367
-156.622196,92.074130,201.950901
-155.767386,92.093026,201.780359
-154.842363,89.769722,201.788526
-153.949783,88.802223,201.691624
-147.853705,86.853463,200.646727
-140.927619,84.703034,199.454327
-140.042250,84.026372,199.334937
-139.131801,82.936888,199.244533
-138.211189,81.680072,199.165879
-137.299595,80.554323,199.078231
-136.412988,79.800717,198.964923
-114.476667,75.621767,194.971942
-113.649691,74.661022,194.887455
-112.832088,73.781178,194.798168
-112.034868,73.159447,194.691688
-111.261669,72.864643,194.563074
-110.516671,72.971493,194.407009
-109.737215,72.484027,194.293001
-108.952901,71.864150,194.188919
-108.175013,71.292661,194.082129
-107.408307,70.851998,193.966792
-106.657269,70.623923,193.837073
-105.926318,70.689806,193.687154
