x,y,z
-157.369397,87.653488,202.462104
-156.510383,87.897806,202.272196
-155.614607,86.932884,202.174451
-154.740847,86.716041,202.019547
-153.876575,86.757626,201.845269
-153.023305,87.054331,201.652189
-152.182154,87.599514,201.441074
-151.354032,88.387372,201.212581
-150.540724,89.438377,200.965379
-149.650657,88.651241,200.854144
-148.792062,88.579225,200.690329
-148.008966,90.061775,200.413616
-147.135050,89.577015,200.280711
-146.179226,87.517479,200.261100
-145.058445,82.562999,200.446916
-144.003105,78.999091,200.531329
-143.056985,77.440108,200.472478
-142.110454,75.870608,200.414410
-141.255164,75.895580,200.243275
-140.491201,77.441397,199.965141
-139.825470,80.500774,199.581975
-139.265571,85.066863,199.095840
-138.563654,87.207962,198.781026
-137.774709,87.909618,198.567365
-136.860130,86.653175,198.489873
-136.068668,87.240175,198.285143
-135.301039,88.129547,198.060261
-134.441394,87.625002,197.931804
-133.621066,87.665494,197.766304
-132.789023,87.506021,197.614930
-131.981234,87.658447,197.442704
-131.099020,86.737497,197.344025
-130.181615,85.306819,197.280301
-129.218554,83.213913,197.262003
-128.260958,81.156020,197.241906
-115.339295,77.043330,195.025587
-114.443996,75.132273,195.005732
-113.574483,73.504594,194.967674
-112.738323,72.306407,194.900895
-102.993941,70.344472,193.135847
-102.274725,70.383359,192.990467
-101.524377,69.824012,192.888123
-100.792562,69.540427,192.766768
-100.060568,69.201340,192.649942
-99.352268,69.246902,192.506172
-98.640767,69.186530,192.370479
-97.935290,69.190801,192.230662
-97.235198,69.249173,192.087461
-96.541279,69.377513,191.939727
-95.849930,69.508964,191.792246
-95.157611,69.577103,191.649778
-94.461770,69.532894,191.515852
-93.753922,69.210596,191.402419
-93.061766,69.141607,191.271259
-92.387589,69.377137,191.118614
-91.722500,69.745478,190.956846
-91.060099,70.122139,190.794924
-90.390764,70.321330,190.646225
-89.715634,70.364910,190.509175
-89.033028,70.217491,190.386352
-88.343496,69.884219,190.277442
-87.652754,69.473191,190.174686
-86.955130,68.862224,190.087009
-86.266693,68.381078,189.990474
-85.593050,68.159859,189.875491
-84.939653,68.328094,189.732488
-84.312387,69.015644,189.551950
