x,y,z
-140.897861,69.381758,200.708240
-140.079021,70.138330,200.484154
-139.266465,70.932240,200.258240
-138.455085,71.670607,200.037126
-137.639308,72.260657,199.827338
-136.813214,72.609818,199.635317
-130.819617,70.140189,198.653508
-129.926894,68.968400,198.573376
-129.178971,70.228842,198.321879
-128.483430,72.253174,198.017926
-128.161815,79.736912,197.338993
-127.360035,79.856412,197.170663
-126.917911,84.932790,196.665853
-126.093288,84.638244,196.527052
-125.003619,80.666216,196.638236
-123.975934,77.405078,196.703221
-122.952558,74.023357,196.778973
-122.297938,76.129954,196.476345
-121.642665,78.111298,196.183888
-120.940461,79.334501,195.944491
-120.231673,80.404330,195.716403
-118.992483,73.771076,196.016848
-103.694919,69.940969,193.307601
-102.557927,61.819638,193.750608
-101.548446,54.398239,194.161270
-100.730294,51.034676,194.276099
-100.015119,50.901930,194.145631
-99.424296,54.770642,193.710725
-98.754195,55.855342,193.489063
-98.073084,56.526098,193.299261
-97.380349,56.793359,193.140339
-96.708345,57.562981,192.944208
-96.036982,58.269485,192.753393
-95.355072,58.622357,192.589571
-94.645708,58.173642,192.486233
-93.915209,57.042999,192.434788
-93.183747,55.735617,192.397685
-92.455225,54.344319,192.368063
-91.735496,53.058164,192.331534
-91.026619,51.981136,192.279955
-90.328979,51.173702,192.208430
-89.652749,51.093519,192.081339
-88.984929,51.257037,191.935872
-88.321145,51.491536,191.785366
-87.655031,51.544203,191.649352
-86.989448,51.528613,191.519054
-86.324289,51.439265,191.394906
-85.659442,51.269335,191.277444
-84.991179,50.855469,191.179366
-84.318983,50.150161,191.104473
-83.648943,49.400742,191.033634
-82.985186,48.809361,190.951042
-82.328537,48.444325,190.851244
-81.679901,48.378203,190.728452
-81.038811,48.600341,190.583450
-80.402465,48.963602,190.427781
-79.768804,49.359126,190.269990
-79.135496,49.669780,190.119248
-78.499532,49.747844,189.987105
-77.863721,49.734872,189.862478
-77.230765,49.768582,189.734577
-76.598893,49.759175,189.610436
-75.967929,49.696923,189.490819
-75.337715,49.572159,189.376491
-69.147693,48.870636,188.210467
