x,y,z
-194.604554,-35.583837,219.956353
-193.162896,-32.344442,219.404991
-190.880765,-22.371352,218.133796
-188.164208,-7.145101,216.344776
-187.192277,-7.596567,216.189757
-184.901557,6.576034,214.571558
-183.891534,6.564157,214.372863
-182.782219,7.857530,214.047214
-181.200131,16.330865,213.037729
-179.747341,24.803483,212.053863
-178.664446,26.844947,211.671925
-177.699063,26.260799,211.529110
-176.680332,26.974156,211.269061
-175.689611,27.045022,211.067378
-174.653060,28.397069,210.751290
-173.514737,33.387258,210.115935
-172.428992,38.178396,209.507341
-171.436196,39.500588,209.202357
-170.495013,37.903010,209.147656
-169.690952,30.348286,209.609890
-169.302187,15.452494,210.757846
-169.229585,1.468423,211.893337
-169.210285,-9.498849,212.791309
-169.113510,-17.921534,213.464735
-169.116621,-26.153233,214.142204
-167.786847,-23.456251,213.657560
-166.577698,-21.634337,213.268716
-165.952451,-24.579885,213.387309
-164.900684,-24.021815,213.133498
-163.481540,-20.352934,212.551272
-161.937263,-15.248729,211.826289
-160.473921,-10.399706,211.138288
-159.242860,-7.563314,210.661697
-158.705257,-12.010771,210.921111
-157.953392,-14.059907,210.940966
-156.484382,-8.787292,210.217014
-155.595235,-9.446133,210.095412
-154.915926,-12.251157,210.191763
-153.816554,-10.635479,209.841579
-152.580754,-7.375084,209.329186
-151.371581,-4.101126,208.820943
-150.285579,-2.096094,208.441386
-149.432065,-3.021968,208.348785
-148.890207,-7.662489,208.623233
-147.864171,-6.401223,208.316688
-146.884274,-5.609333,208.057859
-146.073167,-6.822242,207.997243
-145.372885,-9.253666,208.058728
-144.806907,-12.989281,208.254002
-144.530643,-19.270748,208.715882
-144.215247,-24.600952,209.091809
-144.020758,-30.503260,209.538680
-144.352200,-39.809281,210.369392
-143.805908,-42.320209,210.467858
-142.513867,-39.534682,209.983393
-140.264835,-29.040028,208.675856
-138.518662,-21.383013,207.701054
-137.029716,-15.218013,206.899785
-135.951299,-12.914374,206.497175
-135.316134,-15.430040,206.578461
-135.715236,-27.599163,207.657969
-135.263937,-31.133326,207.859349
-134.305218,-30.324337,207.603300
-132.387364,-20.582882,206.423166
-130.679999,-11.160822,205.310905
-129.145154,-1.706968,204.230135
-128.220354,-0.230610,203.925917
-127.518564,-2.218038,203.950597
-127.244004,-9.912405,204.528991
-127.577091,-22.878100,205.660947
-128.805546,-40.760728,207.374204
-128.114446,-41.881050,207.329699
-127.049305,-40.082238,206.971224
-125.929887,-37.750195,206.558173
-125.734594,-42.742156,206.930031
-125.516645,-47.312728,207.262761
-125.253900,-51.369989,207.544428
-124.745041,-53.585968,207.626041
-124.064587,-54.573795,207.572746
-123.277492,-54.801905,207.435902
-122.693488,-56.415618,207.453138
-121.974862,-57.078985,207.365618
-121.041736,-56.238755,207.112060
-120.024364,-54.760622,206.789396
-119.334384,-55.571272,206.719649
-118.149053,-52.786680,206.256357
-116.869082,-49.131381,205.702761
-115.485860,-44.402910,205.040512
-114.250388,-40.578666,204.481822
-113.281091,-38.878544,204.150408
-112.613483,-39.805272,204.094629
-112.139666,-42.394825,204.213887
-111.686181,-45.081781,204.345173
-111.372763,-48.835107,204.591832
-111.118404,-52.919413,204.877381
-110.834526,-56.638834,205.127091
-110.570808,-60.395494,205.383849
-110.363340,-64.446744,205.675950
-110.316171,-69.484312,206.080840
-110.624941,-76.691741,206.734514
-110.541959,-81.142936,207.084110
-110.302992,-84.530761,207.315433
-109.663166,-85.389668,207.259570
-108.809959,-84.900014,207.050637
-108.201702,-85.933979,207.015409
-107.172590,-84.288157,206.676635
-105.793379,-80.290091,206.075237
-104.753894,-78.414719,205.715538
-104.440932,-81.384696,205.897876
-104.176877,-84.635058,206.112936
-103.669855,-86.265886,206.146798
-102.880149,-86.037923,205.971937
-101.722431,-83.332480,205.520612
-100.937324,-83.073665,205.344122
-100.164927,-82.880555,205.175549
-99.395685,-82.688956,205.007723
-98.387210,-80.801751,204.653181
-97.668878,-80.915877,204.520558
-97.003801,-81.393434,204.428346
-96.284570,-81.471432,204.292575
-95.666542,-82.260788,204.235301
-94.691664,-80.452182,203.893865
-93.911608,-80.023170,203.704379
-93.228202,-80.289742,203.591196
-92.673233,-81.499495,203.580956
-92.474849,-85.317429,203.855668
-92.064574,-87.551585,203.958265
-91.424925,-88.116591,203.878270
-90.507149,-86.636276,203.575116
-89.969979,-87.929202,203.575234
-89.328331,-88.443847,203.490703
-88.876360,-90.348378,203.557953
-88.534391,-93.043872,203.711987
-87.920330,-93.744623,203.648213
-87.511698,-95.934428,203.747487
-86.842161,-96.219499,203.638567
-86.047879,-95.574479,203.428508
-84.990628,-92.924494,203.001604
-83.613662,-87.664491,202.296886
-82.945988,-87.855879,202.180630
-82.407858,-89.067733,202.173892
-82.181823,-92.732910,202.430578
-81.949450,-96.304052,202.678278
-81.926908,-101.426571,203.095022
-82.281280,-109.243755,203.807848
-83.305604,-121.671791,205.032246
-83.823240,-130.380489,205.850652
-83.712839,-134.707317,206.184602
-82.916397,-134.174189,205.983316
-82.226371,-134.387437,205.864439
-81.028083,-130.906750,205.341349
-79.754409,-126.808452,204.752573
-78.624303,-123.679737,204.271902
-77.586218,-121.161508,203.859621
-76.873894,-121.050267,203.709655
-76.637756,-124.545925,203.950404
-75.893336,-124.188177,203.773823
-75.194475,-124.161970,203.633510
-74.629967,-125.164107,203.604314
-74.060504,-126.128344,203.571021
-73.240717,-125.124902,203.326449
-72.218763,-122.476356,202.906641
-71.062523,-118.656540,202.363978
-69.683222,-112.833964,201.612541
-68.309736,-106.783907,200.843549
-67.140275,-102.256368,200.240080
-66.134288,-99.030331,199.775944
-65.386818,-98.127565,199.553947
-64.855053,-99.250673,199.541170
-64.344609,-100.575231,199.549172
-63.400189,-97.706694,199.126603
-62.854250,-98.676360,199.098408
-62.611064,-102.602195,199.373135
-62.615971,-108.852041,199.888000
-62.809890,-116.746560,200.575465
-63.093571,-125.336634,201.337867
-63.484971,-134.852883,202.197720
-63.552821,-141.555629,202.762268
-63.202131,-144.567566,202.940597
-62.371752,-143.188802,202.663070
-61.012595,-136.858385,201.873858
-51.312219,-132.102652,199.565147
-50.438368,-129.598278,199.186472
-49.538054,-126.706002,198.770671
