x,y,z
120.163408,-33.938880,157.594551
113.016187,-33.250100,158.950852
109.768368,-32.665534,159.544847
109.474868,-32.160132,159.561313
111.223146,-31.707452,159.178473
114.120328,-31.283788,158.570893
116.801162,-30.853274,158.005519
117.794226,-30.379758,157.770265
117.913875,-29.885104,157.705939
116.400078,-29.351952,157.961363
114.301299,-28.805995,158.331380
113.024513,-28.281110,158.540629
112.452506,-27.773940,158.612007
113.412315,-27.302631,158.383509
117.112613,-26.892812,157.618298
122.652362,-26.517260,156.492264
127.171757,-26.106986,155.565089
130.812473,-25.666918,154.809171
132.812899,-25.195270,154.374925
129.818825,8.227574,152.218621
128.331492,8.700903,152.473733
126.818666,9.172506,152.734026
125.035751,9.641476,153.047930
123.264600,10.108399,153.359676
122.205791,10.576850,153.530474
121.436471,11.045831,153.643999
121.182574,11.517093,153.655442
121.359935,11.990716,153.581436
122.113001,12.467941,153.393322
121.522795,12.936747,153.471452
124.123463,13.426064,152.917091
126.575993,13.913235,152.392192
128.708816,14.396920,151.930783
130.224510,14.876397,151.591720
129.999095,15.349675,151.597367
129.459430,15.821553,151.665253
129.120449,16.293857,151.693431
129.154383,16.767615,151.647768
129.558292,17.242925,151.528836
128.939164,26.224144,150.912749
132.744235,26.706568,150.120856
135.083109,27.170230,149.620359
136.967190,27.624682,149.210527
137.774058,28.084478,149.013210
137.163560,28.562477,149.094596
136.766029,29.037343,149.134138
136.130371,29.514664,149.220553
135.337926,29.992769,149.337900
134.471808,30.470263,149.469861
133.617935,30.946294,149.599521
