x,y,z
-173.824677,87.832945,205.700395
-172.935468,89.033972,205.425853
-172.072656,89.275655,205.235411
-171.223777,88.807018,205.106129
-170.376982,87.875753,205.015300
-169.523884,86.730195,204.940845
-168.658881,86.071968,204.823965
-167.788730,85.427748,204.704916
-166.914632,85.094400,204.559525
-166.039943,85.093150,204.386710
-165.167227,85.383602,204.190300
-164.298366,85.940454,203.972748
-163.432497,86.542097,203.752103
-162.564448,86.780061,203.560932
-161.694946,86.849986,203.383290
-160.826936,86.972574,203.201613
-159.963141,87.257776,203.007399
-159.093642,87.221758,202.838469
-158.225140,87.214538,202.667368
-157.363577,87.440724,202.478447
-156.488380,87.155224,202.328905
-155.583569,85.986910,202.246098
-154.680213,85.001914,202.148504
-153.795033,84.583484,202.007919
-146.830588,83.599280,200.712043
-145.985684,83.855967,200.523907
-145.157158,84.366492,200.318138
-144.341671,85.053513,200.100433
-143.633082,87.558649,199.754367
-142.822019,88.161921,199.544423
-141.875603,86.421939,199.500397
-140.821799,82.960191,199.576713
-139.746644,79.203937,199.673024
-138.621602,74.569790,199.831659
-137.568495,71.013578,199.915880
-136.587573,68.603751,199.920110
-135.691669,67.673556,199.819484
-134.888146,68.396626,199.601181
-121.848865,69.050410,196.969685
-109.505914,68.600839,194.566571
-108.828708,69.786195,194.335228
-108.119650,70.363271,194.147604
-107.375717,70.299700,194.005762
-106.598360,69.610840,193.908728
-105.864490,69.623235,193.762630
-105.129243,69.564048,193.622146
-104.397370,69.516399,193.481379
-103.708120,70.172218,193.291197
-102.955703,69.670712,193.183688
-102.191747,68.900875,193.095961
-101.397988,67.497218,193.054459
-100.579400,65.472703,193.059098
-99.765845,63.349092,193.072881
-98.971584,61.434949,193.073254
-98.193902,59.710701,193.061291
-97.445946,58.564211,193.007698
-96.732901,58.224694,192.894653
-96.061715,58.922379,192.704598
-95.444282,60.892094,192.420577
