x,y,z
-117.876389,51.011054,197.667657
-117.150660,52.631588,197.390938
-116.377844,52.712777,197.231484
-115.538571,50.637793,197.236185
-114.785865,51.171019,197.043537
-114.032962,51.590019,196.860243
-113.287665,52.142476,196.667479
-112.561240,53.152632,196.440812
-111.862440,54.805067,196.166794
-111.171713,56.488149,195.891852
-110.474366,57.844834,195.642440
-109.758484,58.641799,195.435386
-109.026581,58.981680,195.262749
-108.276827,58.833027,195.126753
-107.571956,59.671201,194.918488
-106.835800,59.712057,194.769598
-106.085320,59.351581,194.650876
-105.318301,58.513650,194.568143
-104.535694,57.167779,194.524093
-82.426973,52.886659,190.505432
-81.727756,50.711133,190.546087
-81.038022,48.559021,190.586691
-80.363168,46.782382,190.599364
-79.703893,45.620223,190.564591
-79.063200,45.491043,190.448554
-78.424285,45.343674,190.334364
-77.796120,45.800951,190.172582
-77.173487,46.485247,189.993227
-76.552802,47.149592,189.815898
-75.930398,47.576715,189.657735
-75.308683,47.927814,189.505958
-74.684400,48.012678,189.375566
-74.063058,48.164510,189.240248
-73.443392,48.308362,189.105918
-72.823003,48.299896,188.983969
-72.208826,48.560308,188.841140
-71.595470,48.763732,188.703159
-70.984125,48.983283,188.564249
-70.373979,49.171356,188.428165
-69.764244,49.281795,188.298545
-69.154915,49.314555,188.175393
-68.544896,49.201257,188.064115
-67.939538,49.270412,187.938755
-67.334521,49.257633,187.820200
-66.728548,49.077767,187.715194
-66.127045,49.076900,187.596354
-65.526882,49.057437,187.479308
-64.929186,49.094691,187.358086
-64.333377,49.152472,187.235550
-63.739283,49.220581,187.112503
-63.146616,49.280765,186.990390
-57.867675,48.915100,185.976862
-57.288852,48.902755,185.863449
-56.710467,48.813037,185.756485
-56.133521,48.724063,185.649745
-55.557647,48.606636,185.545555
-54.983292,48.497794,185.440961
-54.410301,48.385984,185.336880
-53.838713,48.275427,185.232973
-53.268559,48.170326,185.128901
-52.699869,48.074867,185.024326
