x,y,z
122.409242,-33.491817,157.113812
115.710405,-32.821440,158.382984
112.834100,-32.247032,158.904371
112.820044,-31.748424,158.866151
114.718321,-31.298971,158.453924
117.588283,-30.872748,157.851515
118.684274,-30.401301,157.596083
119.219894,-29.916223,157.450310
119.321988,-29.421199,157.389424
119.544763,-28.929407,157.304946
120.037802,-28.444084,157.167571
120.027217,-27.947748,157.128852
120.443121,-27.461252,157.006630
121.877363,-26.996507,156.684880
123.739955,-26.539056,156.279050
123.301463,9.634952,153.391318
122.930755,10.106945,153.425794
122.092497,10.576294,153.552916
121.429835,11.045795,153.645313
121.671801,11.519887,153.558497
122.518597,11.997539,153.351819
123.963288,12.478781,153.026647
124.001076,12.952200,152.980250
125.857555,13.435893,152.573470
128.811210,13.923312,151.949483
133.128467,14.407428,151.056197
135.697828,14.879616,150.509434
136.596538,15.351162,150.292995
135.997043,15.827044,150.372379
133.592468,16.304290,150.808499
131.184219,16.774872,151.245892
129.154331,17.241141,151.608842
126.465442,17.698944,152.102766
126.286325,18.170646,152.099390
128.517529,25.276760,151.074001
132.139425,25.762574,150.318041
134.312322,26.231272,149.849942
135.357743,26.697348,149.604949
135.329907,27.168648,149.571699
134.314752,27.645580,149.733169
133.888953,28.118711,149.778443
133.842916,28.590164,149.748778
134.060153,29.060306,149.667175
133.342190,29.534525,149.770116
132.805750,30.007440,149.837280
131.316061,30.480545,150.092876
129.249088,30.947331,150.463114
126.981674,34.710397,150.601941
124.855864,35.163173,150.984963
123.052544,35.613489,151.304434
121.818979,36.068314,151.510900
