x,y,z
-190.448644,-27.066574,218.434436
-187.816202,-13.506165,216.799019
-184.997958,5.364822,214.690208
-183.528941,11.459127,213.898692
-182.428652,12.823499,213.568989
-181.041863,19.029875,212.784514
-179.888930,21.908359,212.319906
-178.937701,21.027011,212.204327
-178.319237,14.277015,212.637083
-177.751099,7.752757,213.061226
-176.937582,5.160182,213.113577
-175.758798,7.535646,212.685220
-174.328807,14.172583,211.856801
-172.789187,25.532412,210.618368
-171.446981,38.858305,209.257301
-170.417080,43.699312,208.655647
-169.470912,42.208224,208.591204
-168.634919,33.804482,209.116936
-168.142096,19.071411,210.230941
-167.937497,5.545028,211.302704
-167.798415,-5.047186,212.146157
-167.594643,-13.102153,212.768195
-167.352993,-19.841318,213.274553
-166.897153,-24.252142,213.547119
-166.641673,-29.915889,213.962316
-165.745444,-30.570181,213.838940
-165.476511,-35.715130,214.208819
-163.850713,-31.050681,213.503879
-162.217138,-25.999086,212.765569
-154.031675,-21.676258,210.791937
-152.952740,-20.461617,210.478768
-152.107559,-21.275634,210.378617
-151.468747,-23.832046,210.462532
-150.752273,-25.637574,210.469352
-150.021752,-27.264686,210.458725
-148.622890,-23.276252,209.854233
-147.595247,-22.323938,209.572774
-145.706877,-12.921704,208.426361
-144.427893,-8.786315,207.833484
-143.432672,-7.664718,207.544515
-142.805958,-10.795138,207.678020
-142.368581,-15.690263,207.994058
-142.055540,-21.335255,208.396333
-142.006116,-28.720921,208.993851
-141.966127,-35.482938,209.541955
-140.590646,-31.703079,208.959235
-139.381999,-29.051461,208.502268
-138.456153,-28.667817,208.287692
-137.840635,-30.851662,208.345577
-137.366701,-34.090179,208.518173
-137.053837,-38.416660,208.812069
-136.810929,-43.036862,209.143946
-138.133074,-57.632460,210.605448
-137.140421,-56.909070,210.349729
-134.283241,-43.569876,208.688074
-131.270758,-26.139416,206.659311
-129.523373,-17.131459,205.573188
-128.324365,-13.003907,204.996767
-127.534945,-13.480566,204.879900
-127.053987,-17.419838,205.108727
-127.012616,-25.457294,205.761430
-127.603384,-37.874114,206.899196
-129.090201,-54.811766,208.585828
-127.885912,-52.336347,208.144210
-126.710979,-49.953285,207.715989
-126.255217,-52.585620,207.842334
-125.766514,-54.930000,207.938490
-125.205602,-56.738728,207.976326
-124.558723,-57.939517,207.947180
-123.802902,-58.389266,207.834742
-122.932097,-58.044121,207.634213
-121.961747,-56.988788,207.355609
-120.853345,-54.916786,206.966118
-119.652651,-52.078482,206.495372
-118.611887,-50.299213,206.143322
-117.568335,-48.415224,205.782111
-116.545760,-46.606240,205.431213
-115.609161,-45.406375,205.147398
-114.766120,-44.916679,204.940471
-114.026379,-45.244225,204.821164
-113.389633,-46.393449,204.789781
-112.845748,-48.266712,204.836290
-112.364142,-50.592734,204.932339
-111.945512,-53.352811,205.076528
-111.551330,-56.230741,205.235241
-111.036816,-58.151917,205.291496
-110.564671,-60.350617,205.378946
-110.495359,-65.378211,205.778639
-110.668516,-71.865859,206.346319
-110.914767,-78.560741,206.945489
-110.989539,-83.951102,207.403494
-110.746256,-87.270567,207.628344
-110.151008,-88.404854,207.603936
-109.125629,-86.874476,207.275393
-107.828060,-83.566090,206.746843
-106.445801,-79.566715,206.144735
-105.792516,-80.284380,206.074597
-105.457014,-83.079134,206.238071
-104.845167,-84.047022,206.196699
-104.726358,-88.190131,206.513880
-104.381498,-90.838874,206.663499
-103.699712,-91.333844,206.569415
-102.709024,-89.834076,206.250247
-101.440308,-86.449990,205.721177
-100.149597,-82.775570,205.163886
-98.996177,-79.903621,204.699719
