x,y,z
123.402270,-34.017723,156.960743
117.608717,-33.371530,158.052938
114.241439,-32.782894,158.670215
112.813290,-32.246490,158.908440
112.823883,-31.748523,158.865401
113.780557,-31.275155,158.637353
113.766922,-30.777402,158.599120
114.826805,-30.306812,158.350897
116.595886,-29.853287,157.963876
118.256232,-29.396175,157.598056
120.182472,-28.943983,157.180075
121.796382,-28.483074,156.823123
123.539827,-28.023248,156.440652
124.968043,-27.555153,156.119818
127.151556,-27.098932,155.650646
129.981494,-26.647782,155.054099
127.457377,14.391329,152.178640
128.171437,14.868454,151.998245
128.572119,15.344031,151.879930
128.263001,15.816261,151.902211
127.635411,16.286526,151.987611
126.587590,16.753598,152.156350
125.867533,17.221817,152.260199
124.365446,17.683151,152.519213
124.143696,18.153821,152.524350
124.570495,18.629941,152.400827
125.324599,19.108800,152.212374
127.319350,19.596606,151.777921
130.245693,24.340878,150.809313
132.071981,24.818082,150.409035
133.986378,25.288833,149.991870
134.520775,25.758843,149.847578
133.046570,26.234391,150.099912
128.727749,30.472748,150.605201
120.881201,30.857509,152.124749
