x,y,z
-213.109651,61.472665,215.634131
-207.879894,56.422487,215.015512
-207.297379,53.630362,215.129938
-206.527664,52.590068,215.063311
-205.617662,52.990701,214.850471
-204.606203,54.513764,214.525281
-203.490347,57.256097,214.079198
-202.400654,59.759396,213.657942
-201.331906,62.076870,213.256106
-127.677549,56.717199,199.136061
-117.331641,57.415286,197.033376
-116.635867,59.279291,196.742560
-115.964300,61.482231,196.428660
-115.318342,63.991226,196.094658
-114.621191,65.338625,195.846047
-113.956448,67.175417,195.563604
-113.277640,68.645229,195.308554
-112.528399,68.823427,195.145784
-111.798813,69.290490,194.963148
-111.162499,71.264933,194.675006
-110.467617,72.186750,194.461837
-109.739116,72.514573,194.290865
-104.496963,71.239907,193.359352
-103.737821,70.687845,193.254671
-102.972965,69.976248,193.161977
-102.197233,69.000616,193.088844
-101.408141,67.689464,193.040658
-95.640370,65.335858,192.093953
-94.964596,65.734590,191.927573
-94.297349,66.260967,191.752383
-93.532499,64.654177,191.733298
-92.744652,62.339515,191.767872
-91.959000,59.786695,191.822463
-74.231645,56.092679,188.621680
-73.572385,54.662369,188.608959
-72.929219,53.731862,188.558322
-72.299965,53.293975,188.469930
-71.683647,53.354594,188.343106
-71.086683,54.210966,188.154676
-70.473936,54.281046,188.027780
-69.821210,52.383240,188.054790
-69.180833,50.810130,188.057543
-68.552321,49.652408,188.028486
-67.932988,48.858243,187.971351
-67.323605,48.555642,187.875763
-66.721897,48.644064,187.749541
-66.127181,49.085720,187.595656
-65.538564,49.806779,187.420003
-64.955331,50.737226,187.228197
-57.307317,50.277492,185.754061
-56.712544,48.977288,185.743390
-51.005320,48.125955,184.685129
-50.439315,47.783208,184.601418
-49.876223,47.590164,184.505973
-49.316109,47.567798,184.397083
-48.756829,47.502563,184.291883
-48.198567,47.413071,184.188879
-47.641008,47.264564,184.090866
-47.083875,47.022442,184.000635
-46.526949,46.652290,183.920972
