x,y,z
-233.243807,-20.212928,226.331077
-227.470292,-48.772452,227.538025
-228.079080,-65.828990,229.060855
-227.770661,-73.055722,229.594103
-226.903430,-72.595365,229.384807
-225.601118,-66.667371,228.639922
-223.745425,-55.579554,227.361371
-222.217558,-49.113557,226.527658
-220.637464,-42.637355,225.682782
-219.887807,-44.154271,225.659311
-218.415992,-39.084814,224.951510
-215.160814,-18.199624,222.590702
-212.558037,-2.696661,220.801423
-210.433302,9.100903,219.411326
-209.919890,4.553990,219.683701
-209.443691,-0.338290,219.991830
-209.494375,-10.172997,220.810511
-210.292363,-26.038897,222.272844
-211.726057,-46.237879,224.217138
-213.336159,-68.209769,226.342084
-213.085888,-74.395306,226.801215
-211.629955,-69.400266,226.102673
-211.002101,-72.017595,226.193763
-210.194205,-73.022972,226.116717
-209.200799,-72.415754,225.870402
-208.036877,-70.432966,225.477271
-206.476577,-65.396420,224.754683
-204.969517,-61.076975,224.101585
-203.492026,-57.183785,223.489381
-202.270358,-55.327246,223.095214
-200.638339,-50.537756,222.378763
-200.249701,-54.861034,222.657416
-199.717244,-58.082721,222.817058
-199.011243,-60.025680,222.837249
-198.025362,-59.978030,222.638432
-196.843873,-58.589018,222.290652
-195.129550,-53.581938,221.540038
-192.441927,-41.847449,220.043850
-189.999710,-31.425044,218.704062
-187.894500,-22.922316,217.588744
-185.738831,-13.140660,216.358290
-184.668098,-12.659256,216.107033
-183.430988,-10.602130,215.693320
-182.343386,-9.924047,215.422557
-181.224232,-8.918357,215.118618
-180.273580,-9.547927,214.982449
-179.321914,-10.153716,214.844126
-178.880343,-15.470025,215.193966
-178.372154,-19.844109,215.453163
-177.740001,-22.973610,215.585516
-177.517130,-29.105568,216.045659
-177.557370,-36.683109,216.676679
-177.648458,-44.082004,217.303063
-178.338429,-54.783719,218.319415
-176.070870,-46.835363,217.217585
-176.330489,-54.680943,217.914014
-174.592199,-50.095345,217.193319
-175.976724,-64.385359,218.642026
-175.057461,-64.769114,218.491851
-166.076457,-58.118363,216.169535
-164.849700,-56.619629,215.803783
-163.519550,-54.477192,215.364663
-151.985885,-53.730475,213.023171
-151.350792,-55.521360,213.044876
-148.935483,-46.173777,211.798785
-148.702229,-50.598757,212.116518
-145.919962,-38.041252,210.533947
-146.250138,-46.596550,211.302681
-145.034971,-44.550116,210.894186
-142.978844,-36.362185,209.814455
-142.171287,-37.024526,209.709270
-141.019934,-35.067941,209.320778
-140.169170,-35.353272,209.176052
-139.814998,-39.337489,209.433639
-139.583826,-44.009442,209.772091
-138.696295,-43.973502,209.593680
-137.468718,-41.480329,209.145998
-137.169955,-45.569397,209.423160
-136.461019,-46.705431,209.376421
-135.596714,-46.742441,209.208600
-135.513839,-52.050025,209.628634
-134.814060,-53.147768,209.580556
-134.545816,-57.000703,209.844336
-134.118516,-59.749886,209.985915
-133.707605,-62.540185,210.134115
-132.480048,-60.257102,209.703712
-131.106145,-56.939862,209.159344
-129.879780,-54.450526,208.712217
-128.481891,-50.661465,208.124312
-127.381871,-48.801269,207.753893
-126.745388,-50.197208,207.742848
-126.135574,-51.751108,207.750064
-125.604457,-53.818273,207.815040
-124.390750,-51.090958,207.350848
-123.789101,-52.647763,207.359917
-123.346188,-55.278094,207.488637
-122.677149,-56.303162,207.440661
-121.554019,-54.144173,207.041106
-120.747173,-54.163982,206.883229
-120.120120,-55.439822,206.864173
-119.308283,-55.385726,206.699233
-118.428856,-54.822453,206.479063
-117.879042,-56.599427,206.516483
-117.010964,-56.079532,206.302124
-116.383527,-57.264982,206.275559
-115.797656,-58.724807,206.279773
-114.756866,-56.903377,205.924251
-113.553594,-53.780426,205.429591
-112.883100,-54.593003,205.363855
-111.785670,-52.114394,204.943100
-110.685106,-49.482654,204.509133
-109.947485,-49.705332,204.381623
-109.454441,-51.879590,204.462932
-108.703090,-51.958269,204.320866
-107.935672,-51.884548,204.163094
-107.088372,-51.132287,203.933736
-106.211012,-50.087685,203.674398
-105.412595,-49.662581,203.481604
-104.688944,-49.844146,203.353475
-103.875666,-49.233348,203.142475
-103.232103,-50.060095,203.083228
-102.586686,-50.851522,203.020711
-101.834706,-50.703820,202.859907
-101.112219,-50.788169,202.724014
-100.385562,-50.813564,202.582449
-99.605737,-50.343371,202.389623
-98.764908,-49.287131,202.136550
-97.935094,-48.279505,201.889652
-97.067365,-46.860412,201.601425
-96.203097,-45.403092,201.310739
-95.321337,-43.695428,200.996011
-94.587853,-43.415778,200.828014
-93.986481,-44.450148,200.794180
-93.433312,-45.945516,200.807781
-92.864626,-47.259464,200.803397
-92.159200,-47.194781,200.658622
-91.392906,-46.489226,200.449119
-90.636437,-45.843214,200.246454
-89.762984,-43.920133,199.915655
-88.842206,-41.367508,199.523736
-87.927863,-38.730564,199.126156
-87.130705,-37.332498,198.853609
-86.493621,-37.792820,198.765514
-85.763729,-37.112382,198.565272
-85.071902,-36.856665,198.407478
-84.392521,-36.723727,198.262240
-83.753137,-37.062075,198.163661
-82.903222,-34.692010,197.800762
-82.350494,-36.096853,197.807007
-82.374447,-44.466408,198.499931
-82.321472,-51.308197,199.052026
-82.063560,-55.634553,199.356776
-81.667577,-58.426546,199.508066
-81.036792,-58.809234,199.414833
-80.232488,-57.389780,199.139115
-79.269661,-54.195566,198.686128
-78.129153,-48.749643,198.012868
-76.887511,-41.492592,197.170695
-75.960356,-37.731181,196.678122
-75.623913,-41.830775,196.948701
-75.426051,-47.487157,197.374683
-75.409496,-54.931190,197.983498
-75.061719,-58.309293,198.192511
-74.556209,-59.893580,198.222845
-74.167408,-62.720241,198.378406
-74.180916,-69.645133,198.950478
-73.710025,-71.486638,199.008806
-72.833537,-69.200720,198.647572
-71.564390,-62.515711,197.846998
-70.446951,-56.998164,197.172409
-70.091574,-60.313820,197.374785
-69.324779,-58.767887,197.096082
-68.178951,-52.365559,196.343130
-67.400492,-50.356269,196.024022
-67.337756,-57.627749,196.609519
-67.397014,-65.879146,197.299707
-66.767301,-65.910159,197.177769
-66.397101,-68.922269,197.352256
-65.654462,-67.637799,197.099828
-65.053438,-67.965748,197.007977
-64.662097,-70.725894,197.157566
-64.000333,-70.336341,196.994711
-63.266031,-69.055256,196.744209
-62.864344,-71.702338,196.882456
-62.623895,-76.171709,197.202417
-61.910242,-75.167281,196.978746
-61.060543,-72.488280,196.590487
-60.696681,-75.566675,196.771677
-60.230830,-77.412784,196.831380
-60.133202,-83.469202,197.310070
-59.770755,-86.428259,197.481727
-59.742719,-92.975061,198.014497
-59.549909,-97.625299,198.358748
-59.432308,-102.976049,198.775466
-59.145203,-106.551008,199.012660
-58.749216,-109.024509,199.137762
-58.137794,-109.336730,199.042562
-57.832176,-112.733958,199.261483
-57.546448,-116.330155,199.500695
-57.313157,-120.451797,199.793479
-57.065617,-124.442570,200.072685
-56.849489,-128.766139,200.385465
-56.691247,-133.699639,200.759841
-56.417995,-137.548940,201.022332
-55.958343,-139.583087,201.098721
-55.361503,-140.249572,201.035534
-54.580901,-139.023605,200.780411
-53.894537,-138.738217,200.621257
-53.259066,-138.968537,200.514569
-52.776435,-140.818420,200.571265
-52.375441,-143.579422,200.719016
-52.007898,-146.766338,200.908402
-41.646315,-147.624951,198.930618
-41.207852,-150.433340,199.074858
-40.682263,-152.103772,199.108306
-40.085109,-152.791324,199.046789
-39.432696,-152.680984,198.908741
-38.710765,-151.526756,198.671115
-38.067032,-151.491282,198.540939
-37.426815,-151.492045,198.414437
-36.797813,-151.649866,198.303066
-36.399503,-155.445788,198.536445
-35.933442,-158.307730,198.679633
-35.209773,-156.967405,198.426362
-34.091314,-149.027208,197.552369
-32.532891,-133.614383,195.976960
-30.546972,-109.222597,193.578742
-28.680913,-82.119114,190.981249
-27.175899,-56.215936,188.553827
-26.026754,-33.722781,186.477146
-25.157784,-16.595987,184.897104
-24.371861,2.680820,183.156694
-23.834658,4.901114,182.867930
-23.441563,-5.816398,183.671469
-23.237174,-25.901090,185.282533
-23.278150,-51.640113,187.407032
-19.143125,-78.212047,188.774462
-19.458455,-106.620621,191.172703
-19.831433,-133.366804,193.445649
-19.925798,-152.433108,195.032036
-19.464938,-156.909693,195.309017
-18.341546,-141.936331,193.855745
-17.779693,-143.135796,193.843298
-17.205323,-144.000828,193.800878
-16.627629,-144.794309,193.751918
-16.045582,-145.473986,193.692740
-15.458972,-146.019657,193.621641
-14.869949,-146.493613,193.544168
-14.275782,-146.783763,193.450564
-13.676682,-146.874934,193.339625
-13.075682,-146.865743,193.220057
-12.473660,-146.780464,193.094031
-11.873103,-146.720756,192.970398
-11.273802,-146.681047,192.848657
-10.675696,-146.661876,192.728841
-10.080289,-146.746908,192.618126
-9.486722,-146.907217,192.513965
-9.162621,-163.689534,193.829824
-8.491637,-159.705168,193.369562
-7.385790,-125.111874,190.306503
-6.526513,-101.604412,188.203725
-5.834132,-86.869858,186.855296
-5.238761,-79.301433,186.115281
-4.706408,-78.552789,185.948482
8.334012,-83.186626,183.751537
9.003357,-94.417876,184.542707
9.848206,-114.115121,185.995300
10.981729,-145.053144,188.315101
11.622768,-148.358521,188.460160
11.843733,-131.666590,187.043978
12.329310,-128.347193,186.675046
22.177990,-125.734480,184.513227
22.725939,-125.748339,184.406043
23.328869,-127.057262,184.394476
23.953446,-128.802690,184.414522
30.007870,-129.197928,183.250120
30.677759,-131.389261,183.297872
31.364873,-133.812130,183.361258
32.066647,-136.417525,183.436753
32.656772,-137.038694,183.371167
33.177832,-136.480656,183.222274
33.779263,-137.276376,183.168805
34.390404,-138.212189,183.124936
38.302588,-138.717603,182.393093
38.903066,-139.406956,182.331067
39.483799,-139.795590,182.248217
40.049120,-139.955693,182.149623
40.593003,-139.809020,182.030043
41.169958,-140.134785,181.942770
41.748317,-140.476028,181.856493
42.280270,-140.171135,181.726262
42.745682,-138.970942,181.535568
43.131538,-136.747029,181.276426
43.386668,-132.893769,180.909154
43.567145,-128.212843,180.488585
43.741322,-123.575827,180.072872
43.962831,-119.622659,179.704032
44.276838,-116.885060,179.416855
44.687848,-115.392014,179.212837
45.230758,-115.540068,179.117683
45.885368,-117.028947,179.110696
