x,y,z
-149.641098,69.613811,202.417612
-148.792583,70.405207,202.184796
-147.911262,70.395853,202.011337
-147.035620,70.458475,201.833082
-146.165265,70.579194,201.651095
-145.298260,70.714249,201.468592
-144.432767,70.825513,201.288343
-143.569642,70.930424,201.109086
-142.707824,71.008345,200.932306
-141.848828,71.088604,200.755891
-140.992851,71.174175,200.579637
-140.138657,71.241663,200.405222
-139.285173,71.271908,200.234009
-138.434756,71.307930,200.062928
-137.584190,71.292180,199.896075
-136.732337,71.205683,199.734784
-135.883146,71.118464,199.574079
-135.039854,71.085968,199.410040
-134.204948,71.149164,199.239791
-133.382400,71.372695,199.058802
-132.572738,71.760139,198.866882
-131.785407,72.460635,198.653636
-131.010317,73.295902,198.431728
-130.214824,73.742056,198.237782
-129.394624,73.746009,198.075311
-128.564906,73.554707,197.927014
-127.722853,73.123857,197.795975
-117.244550,70.751281,195.919603
-116.437740,70.214445,195.804246
-115.657679,70.068240,195.662057
-114.905408,70.335491,195.491366
-114.184137,71.063751,195.288896
-108.910791,71.170568,194.237624
-108.196975,71.655959,194.056598
-107.486582,72.150641,193.875485
-106.774759,72.576071,193.699784
-106.015617,72.184764,193.581884
-105.240955,71.482366,193.486496
-104.548137,72.099073,193.298824
-103.817255,72.036802,193.159456
-103.042955,71.192371,193.075818
-95.813834,68.823307,191.841488
-95.056471,67.614686,191.791144
-82.142261,64.201840,189.518753
-81.407919,61.945831,189.559082
-80.667869,59.211468,189.637615
-79.937962,56.373177,189.726699
-75.435282,54.140621,189.020136
-74.800640,53.815210,188.921430
-74.166400,53.414004,188.829036
-73.550250,53.718903,188.682159
-72.939599,54.183902,188.523205
-72.350169,55.456171,188.302068
-71.750360,56.199219,188.122394
-71.126060,55.884527,188.024852
-70.467475,53.990884,188.050361
-69.776727,50.013686,188.240833
