x,y,z
91.464335,-116.244251,170.035659
94.275004,-115.546601,169.422652
93.424070,-114.926156,169.539857
90.546878,-114.327177,170.059399
87.283757,-113.707813,170.653559
85.304680,-113.066039,170.992033
90.743989,-112.398144,169.861817
99.791963,-111.642083,168.010954
110.410981,-110.590121,165.825180
112.479410,-41.818436,159.761501
122.917055,-41.612951,157.681185
131.053785,-41.263620,156.043909
131.543830,8.704713,151.838372
131.793622,9.180655,151.749856
126.254748,9.645516,152.806614
125.800683,10.118390,152.857496
126.065798,10.593587,152.766012
125.880447,11.067008,152.763727
127.392786,11.547000,152.425285
129.679306,12.028678,151.933656
133.185238,12.508747,151.201094
134.832423,12.982892,150.836475
136.274413,13.454833,150.512602
137.943036,13.923044,150.144233
137.847447,14.397735,150.124098
138.197482,17.710666,149.782493
137.393525,22.439818,149.552571
135.363403,22.924153,149.914082
134.584586,23.399082,150.028995
134.652672,23.870981,149.976734
134.506305,24.343466,149.966819
132.043465,24.818050,150.414675
130.194627,25.285578,150.741730
128.638508,25.749949,151.011176
126.209762,26.203259,151.454042
125.484052,26.668431,151.559259
124.253845,27.127178,151.764738
123.228228,27.586786,151.929701
123.265917,28.059326,151.883396
123.527697,28.534752,151.792552
123.828510,29.010662,151.693953
123.984444,29.484769,151.624143
123.812468,29.954828,151.619490
