x,y,z
-159.501478,69.810963,204.350702
-158.583382,69.339914,204.207935
-157.676156,69.216746,204.038713
-156.778536,69.350308,203.850280
-155.888680,69.649847,203.649734
-155.004165,70.024939,203.444033
-154.117595,70.268536,203.248737
-153.230912,70.444368,203.058990
-152.340765,70.475432,202.880463
-151.448586,70.408353,202.709603
-150.546139,70.056686,202.560114
-149.666839,70.203121,202.374245
-148.795911,70.478960,202.179390
-147.929081,70.780847,201.983203
-147.064466,71.066693,201.788773
-137.495008,69.691029,200.010099
-129.923047,68.901555,198.578112
-129.127894,69.360454,198.383185
-128.343175,69.937565,198.180600
-127.559799,70.476885,197.981389
-126.767963,70.819097,197.796712
-125.955909,70.777181,197.639623
-125.137168,70.576706,197.494250
-124.418499,71.955129,197.238835
-123.611630,71.853475,197.087684
-122.727771,70.454637,197.027973
-113.209772,67.453258,195.393147
-103.393071,64.231544,193.717388
-96.158011,61.323683,192.526187
-95.389008,59.508324,192.523431
-94.637292,57.943607,192.503484
-93.900300,56.611535,192.467318
-93.215289,56.679621,192.326299
-92.588814,58.348568,192.065222
-91.919915,58.737222,191.901030
-91.248698,58.998102,191.746886
-90.568271,58.943392,191.616870
-89.884565,58.731226,191.499154
-89.191476,58.178863,191.407555
-88.503920,57.701710,191.310866
-87.813720,57.057030,191.227429
-87.124393,56.339815,191.150129
-86.438753,55.635853,191.072468
-85.759435,55.038699,190.987275
-85.088301,54.627429,190.888415
-84.426894,54.474398,190.770245
-83.784092,54.910520,190.607309
-83.133684,55.001113,190.471280
-82.471963,54.606772,190.372889
-81.808018,54.034512,190.288688
-81.140324,53.203831,190.224995
-80.473786,52.282338,190.168997
-79.811619,51.399818,190.110658
-79.155993,50.668767,190.041158
-78.508380,50.188648,189.952609
-77.870636,50.084065,189.835133
-77.242897,50.380986,189.686621
-76.608558,50.253961,189.571663
-75.976965,50.166312,189.454010
-75.348411,50.136067,189.332238
-74.721555,50.096075,189.211603
-74.097020,50.079885,189.089470
-73.474864,50.092465,188.965441
-72.855147,50.138760,188.839122
-72.237928,50.223702,188.710120
