x,y,z
-164.319402,88.740100,203.746704
-163.462670,89.914495,203.480772
-162.603566,90.270630,203.281652
-161.739297,90.021952,203.131242
-160.867702,89.381209,203.011622
-159.988940,88.561373,202.905311
-159.112882,88.074997,202.772115
-158.238862,87.761101,202.625140
-157.371086,87.715590,202.457331
-156.513529,88.005585,202.263955
-155.668866,88.652364,202.043792
-154.806735,88.665458,201.872281
-153.956393,88.992432,201.677291
-153.095003,88.958961,201.509755
-152.209112,88.278562,201.390569
-151.333056,87.881571,201.250024
-150.457543,87.507302,201.107718
-149.592789,87.372306,200.947864
-148.715437,86.954291,200.808792
-147.848855,86.755245,200.653844
-146.988293,86.657252,200.491777
-146.143281,86.830753,200.310460
-145.300835,87.011769,200.129032
-144.446591,86.939483,199.966101
-143.547465,86.050682,199.861434
-142.627330,84.813380,199.781270
-141.695227,83.394681,199.713655
-140.763422,81.996230,199.644434
-139.811312,80.268618,199.598265
-138.890686,79.051368,199.516355
-138.001525,78.326964,199.400141
-137.159222,78.328354,199.233511
-136.338391,78.629294,199.046496
-135.518161,78.892727,198.862684
-134.681157,78.852271,198.700543
-133.834305,78.622165,198.552049
-133.008616,78.677642,198.384257
-132.212961,79.143858,198.188629
-131.445574,79.979542,197.968210
-130.703619,81.127012,197.727182
-129.981642,82.493445,197.472099
-129.278511,84.052733,197.204883
-128.572021,85.492372,196.946843
-127.836236,86.469213,196.721064
-127.043560,86.631011,196.551056
-126.259322,86.869777,196.376387
-125.378174,85.782771,196.291572
-124.432587,83.796396,196.267969
-123.453631,81.293946,196.280204
-122.465175,78.559702,196.309620
-95.988332,72.032663,191.612095
-95.175901,69.921370,191.625087
-94.400380,68.345297,191.601367
-93.662401,67.398194,191.533351
-92.952776,66.953940,191.429594
-92.322297,68.082356,191.212170
-91.635264,68.011077,191.082212
-90.968954,68.314495,190.925540
-90.311585,68.753822,190.759461
-89.655044,69.164499,190.595901
-88.988372,69.326839,190.450758
-88.312249,69.253245,190.323147
-87.633318,69.074782,190.203603
-86.944593,68.641535,190.103072
-86.256851,68.170678,190.005829
-85.573755,67.740420,189.906165
-84.898655,67.428297,189.798369
-84.234687,67.311312,189.676728
